,kde_clusters,kde_clusters_at_cargo,graph_clusters,graph_clusters_at_cargo,potential_strength_r11_r11,potential_strength_cargo_r11,potential_strength_cargo_r11_avidity,kb_temperature_r11,iteration,output_path
36,2.0,1.0,17,17,0.011428571428571429,0.017142857142857144,0.017142857142857144,0.01,50000,out/autophagy/explore_parameter_space_00001247
37,1.0,0.0,15,15,0.022857142857142857,0.022857142857142857,0.011428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002325
38,3.0,2.0,3,3,0.02857142857142857,0.0,0.0,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002563
39,5.0,2.0,12,12,0.02857142857142857,0.03428571428571429,0.0,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00002945
40,6.0,3.0,28,28,0.02857142857142857,0.022857142857142857,0.005714285714285714,0.0,50000,out/autophagy/explore_parameter_space_00002824
41,7.0,2.0,24,24,0.017142857142857144,0.017142857142857144,0.011428571428571429,0.0,50000,out/autophagy/explore_parameter_space_00001744
42,7.0,2.0,21,21,0.022857142857142857,0.02857142857142857,0.04,0.0,50000,out/autophagy/explore_parameter_space_00002424
43,3.0,1.0,15,15,0.017142857142857144,0.03428571428571429,0.011428571428571429,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00001938
44,2.0,1.0,8,8,0.011428571428571429,0.04,0.0,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00001474
45,2.0,1.0,16,16,0.017142857142857144,0.005714285714285714,0.03428571428571429,0.01,50000,out/autophagy/explore_parameter_space_00001655
46,2.0,1.0,9,9,0.022857142857142857,0.02857142857142857,0.005714285714285714,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00002380
47,2.0,1.0,4,4,0.022857142857142857,0.011428571428571429,0.0,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00002180
48,3.0,1.0,4,4,0.022857142857142857,0.0,0.0,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00002052
49,5.0,2.0,29,29,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00000589
50,4.0,2.0,5,5,0.02857142857142857,0.005714285714285714,0.022857142857142857,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00002657
51,,,86,86,0.0,0.017142857142857144,0.005714285714285714,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00000203
52,1.0,0.0,15,15,0.017142857142857144,0.005714285714285714,0.02857142857142857,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00001644
53,2.0,1.0,7,7,0.022857142857142857,0.017142857142857144,0.0,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00002244
54,,,49,49,0.0,0.02857142857142857,0.04,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00000382
55,2.0,1.0,6,6,0.02857142857142857,0.022857142857142857,0.0,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002821
56,3.0,2.0,30,30,0.022857142857142857,0.0,0.04,0.0,50000,out/autophagy/explore_parameter_space_00002104
57,2.0,1.0,5,5,0.022857142857142857,0.0,0.011428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002069
58,,,10,10,0.011428571428571429,0.011428571428571429,0.03428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00001205
59,2.0,1.0,10,10,0.02857142857142857,0.011428571428571429,0.017142857142857144,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002717
