,kde_clusters,kde_clusters_at_cargo,graph_clusters,graph_clusters_at_cargo,potential_strength_r11_r11,potential_strength_cargo_r11,potential_strength_cargo_r11_avidity,kb_temperature_r11,interaction_relative_neighbour_distance,iteration,output_path
7960,,,128,128,0.0,0.0075,0.0075,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00004380
7961,2.0,1.0,50,50,0.0075,0.0,0.0075,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00018829
7962,,,166,166,0.0,0.0075,0.005,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00004097
7963,,,151,151,0.005,0.0075,0.01,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00016781
7964,2.0,1.0,21,21,0.01,0.005,0.0,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00026508
7965,6.0,1.0,33,33,0.005,0.0075,0.0075,0.0,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00016465
7966,,,158,158,0.0075,0.0025,0.0025,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00019653
7967,5.0,3.0,34,34,0.0075,0.0,0.0025,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00018350
7968,6.0,1.0,109,109,0.0,0.0075,0.0075,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00004322
7969,7.0,1.0,159,159,0.0025,0.0,0.0025,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00006425
7970,4.0,2.0,166,166,0.0075,0.0025,0.0,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00019238
7971,7.0,2.0,15,15,0.005,0.0075,0.0025,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00016036
7972,8.0,0.0,164,164,0.0,0.01,0.01,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00005949
7973,6.0,1.0,169,169,0.01,0.0,0.0,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00024236
7974,10.0,1.0,152,152,0.0075,0.0025,0.0075,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00020137
7975,10.0,0.0,183,183,0.0,0.0,0.005,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00000682
7976,4.0,0.0,153,153,0.0,0.005,0.0075,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00003166
7977,7.0,0.0,161,161,0.005,0.01,0.0075,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00017595
7978,12.0,1.0,161,161,0.005,0.0025,0.0025,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00013671
7979,,,165,165,0.0075,0.005,0.005,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00021011
7980,4.0,1.0,165,165,0.005,0.0,0.0,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00012182
7981,9.0,1.0,164,164,0.0075,0.0025,0.0075,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00020155
7982,11.0,0.0,162,162,0.0075,0.0025,0.0,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00019432
7983,13.0,1.0,153,153,0.005,0.0075,0.0075,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00016485
7984,8.0,0.0,159,159,0.005,0.005,0.01,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00015437
7985,2.0,1.0,36,36,0.01,0.0075,0.01,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00028763
7986,2.0,0.0,159,159,0.0,0.005,0.0075,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00003255
7987,13.0,2.0,156,156,0.0025,0.0075,0.0025,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00009928
7988,4.0,1.0,28,28,0.0075,0.0075,0.0075,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00022418
7989,8.0,1.0,174,174,0.0,0.0025,0.005,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00001697
7990,13.0,0.0,148,148,0.0075,0.0075,0.005,0.018000000000000002,1.8,45000,out/autophagy/explore_parameter_space_2_00022104
7991,4.0,1.0,25,25,0.0025,0.0025,0.0025,0.0,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00007590
7992,4.0,1.0,35,35,0.01,0.005,0.005,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00027074
7993,17.0,0.0,137,137,0.0,0.01,0.0025,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00005240
7994,,,165,165,0.005,0.0075,0.0075,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00016490
7995,7.0,0.0,156,156,0.0,0.005,0.0025,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00002783
7996,2.0,1.0,20,20,0.01,0.005,0.0025,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00026747
7997,5.0,0.0,163,163,0.0,0.005,0.005,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00002951
7998,4.0,0.0,164,164,0.005,0.005,0.005,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00015100
7999,5.0,0.0,161,161,0.0075,0.005,0.01,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00021449
8000,18.0,0.0,146,146,0.0075,0.01,0.0,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00022981
8001,,,161,161,0.005,0.0075,0.0025,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00015969
8002,,,13,13,0.01,0.005,0.0,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00026501
8003,5.0,2.0,81,81,0.005,0.0,0.0,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00012202
8004,6.0,1.0,178,178,0.0,0.0075,0.0,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00003762
8005,7.0,1.0,156,156,0.0025,0.01,0.0,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00010930
8006,12.0,0.0,164,164,0.0,0.0,0.0075,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00000878
8007,5.0,1.0,21,21,0.01,0.0075,0.0025,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00027936
8008,9.0,1.0,160,160,0.0,0.0025,0.0025,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00001571
8009,6.0,0.0,174,174,0.0,0.005,0.005,0.018000000000000002,1.8,45000,out/autophagy/explore_parameter_space_2_00002908
8010,4.0,1.0,101,101,0.0,0.0,0.0,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00000101
8011,12.0,1.0,169,169,0.0,0.0025,0.0075,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00002038
8012,13.0,0.0,160,160,0.0,0.005,0.01,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00003574
8013,9.0,0.0,163,163,0.0,0.0075,0.0075,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00004439
8014,4.0,1.0,19,19,0.005,0.0,0.005,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00012486
8015,12.0,2.0,159,159,0.0,0.0025,0.0075,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00001964
8016,,,149,149,0.01,0.0,0.0,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00024182
8017,6.0,2.0,156,156,0.01,0.0025,0.005,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00025712
8018,5.0,2.0,12,12,0.0075,0.01,0.0025,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00023235
8019,14.0,1.0,163,163,0.0,0.0,0.005,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00000523
8020,,,128,128,0.0075,0.01,0.0025,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00023255
8021,1.0,0.0,45,45,0.0075,0.0075,0.0075,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00022426
8022,6.0,2.0,171,171,0.005,0.0075,0.0,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00015831
8023,5.0,1.0,152,152,0.005,0.01,0.01,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00017903
8024,7.0,0.0,186,186,0.0,0.0025,0.0,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00001259
8025,4.0,1.0,29,29,0.005,0.005,0.005,0.0,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00015026
8026,2.0,1.0,110,110,0.0,0.0075,0.0025,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00003942
8027,,,124,124,0.0075,0.0075,0.005,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00022101
8028,4.0,1.0,163,163,0.0075,0.0025,0.01,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00020330
8029,16.0,0.0,123,123,0.0025,0.0025,0.0075,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00007982
8030,4.0,0.0,165,165,0.005,0.0025,0.0075,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00014092
8031,4.0,0.0,160,160,0.0075,0.0,0.005,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00018700
8032,,,158,158,0.01,0.0075,0.01,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00028741
8033,2.0,1.0,39,39,0.0075,0.005,0.0025,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00020751
8034,,,134,134,0.01,0.0025,0.005,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00025891
8035,13.0,2.0,142,142,0.0075,0.0,0.0025,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00018330
8036,2.0,0.0,166,166,0.005,0.005,0.0,0.018000000000000002,1.8,45000,out/autophagy/explore_parameter_space_2_00014424
8037,,,169,169,0.0025,0.0025,0.005,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00007904
8038,4.0,0.0,153,153,0.0075,0.0025,0.01,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00020384
8039,,,149,149,0.0075,0.0,0.005,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00018610
8040,,,147,147,0.005,0.01,0.0,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00016889
8041,7.0,2.0,21,21,0.0075,0.01,0.0,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00022996
8042,,,128,128,0.0075,0.005,0.01,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00021377
8043,10.0,0.0,154,154,0.0075,0.005,0.005,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00020955
8044,,,150,150,0.005,0.0,0.0,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00012231
8045,10.0,1.0,154,154,0.005,0.0075,0.0075,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00016511
8046,,,112,112,0.01,0.0075,0.0025,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00027862
8047,6.0,1.0,47,47,0.0025,0.01,0.01,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00011953
8048,13.0,1.0,135,135,0.0025,0.005,0.0,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00008409
8049,1.0,0.0,37,37,0.0075,0.0075,0.01,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00022712
8050,5.0,0.0,167,167,0.0025,0.0075,0.0025,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00010057
8051,9.0,3.0,167,167,0.0,0.01,0.005,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00005352
8052,21.0,1.0,158,158,0.0,0.0075,0.0,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00003708
8053,13.0,1.0,157,157,0.0025,0.0075,0.0075,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00010341
8054,,,152,152,0.005,0.005,0.0025,0.018000000000000002,2.0,45000,out/autophagy/explore_parameter_space_2_00014760
8055,7.0,0.0,166,166,0.005,0.0075,0.0025,0.018000000000000002,2.0,45000,out/autophagy/explore_parameter_space_2_00015966
8056,,,145,145,0.005,0.0025,0.01,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00014293
8057,3.0,1.0,21,21,0.01,0.0025,0.0075,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00026122
8058,3.0,1.0,25,25,0.0025,0.005,0.005,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00009078
8059,,,146,146,0.005,0.01,0.005,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00017346
8060,3.0,1.0,113,113,0.0,0.0025,0.01,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00002211
8061,25.0,1.0,130,130,0.0,0.005,0.01,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00003370
8062,,,162,162,0.01,0.0075,0.0025,0.018000000000000002,1.8,45000,out/autophagy/explore_parameter_space_2_00027866
8063,,,155,155,0.005,0.0025,0.005,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00013841
8064,,,150,150,0.0025,0.0,0.0,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00006089
8065,5.0,1.0,88,88,0.005,0.0025,0.0025,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00013503
8066,4.0,1.0,20,20,0.01,0.01,0.0,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00028998
8067,6.0,1.0,157,157,0.0075,0.0075,0.0,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00021815
8068,13.0,0.0,168,168,0.0025,0.0025,0.01,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00008278
8069,7.0,1.0,159,159,0.01,0.0,0.0075,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00024958
8070,4.0,1.0,25,25,0.0025,0.01,0.0075,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00011520
8071,,,28,28,0.0075,0.0,0.0,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00018053
8072,9.0,3.0,152,152,0.0075,0.0,0.005,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00018647
8073,9.0,1.0,149,149,0.0075,0.0,0.0025,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00018317
8074,3.0,0.0,186,186,0.0,0.0,0.0,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00000010
8075,6.0,1.0,77,77,0.005,0.0075,0.0025,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00016040
8076,,,159,159,0.005,0.01,0.0075,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00017698
8077,,,162,162,0.0,0.0,0.01,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00001019
8078,,,157,157,0.01,0.01,0.0,0.024,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00028883
8079,,,164,164,0.0,0.0025,0.0075,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00002093
8080,4.0,1.0,110,110,0.0,0.01,0.005,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00005383
8081,,,105,105,0.01,0.005,0.0075,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00027235
8082,,,132,132,0.01,0.0025,0.005,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00025894
8083,11.0,3.0,83,83,0.005,0.0025,0.0025,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00013448
8084,4.0,1.0,152,152,0.005,0.0025,0.0075,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00014013
8085,3.0,2.0,12,12,0.01,0.0,0.0075,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00024779
8086,6.0,1.0,164,164,0.0025,0.0025,0.0025,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00007668
8087,24.0,0.0,130,130,0.005,0.0075,0.01,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00016629
8088,13.0,0.0,157,157,0.0075,0.01,0.0075,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00023661
8089,,,20,20,0.0075,0.005,0.01,0.0,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00021509
8090,,,80,80,0.005,0.0,0.0025,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00012349
8091,6.0,2.0,20,20,0.005,0.0025,0.0075,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00013923
8092,5.0,2.0,32,32,0.005,0.01,0.005,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00017378
8093,2.0,0.0,39,39,0.0075,0.01,0.0,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00022908
8094,4.0,1.0,32,32,0.0025,0.0,0.0,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00006199
8095,5.0,0.0,145,145,0.0075,0.0075,0.005,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00022175
8096,,,153,153,0.005,0.0025,0.01,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00014206
8097,4.0,0.0,154,154,0.0025,0.005,0.0025,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00008820
8098,5.0,0.0,156,156,0.01,0.005,0.0,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00026569
8099,5.0,1.0,25,25,0.005,0.0075,0.01,0.0,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00016704
8100,6.0,1.0,39,39,0.0025,0.0075,0.005,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00010273
8101,12.0,3.0,161,161,0.0,0.005,0.01,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00003398
8102,4.0,2.0,37,37,0.0025,0.01,0.0075,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00011718
8103,17.0,3.0,148,148,0.0025,0.0,0.005,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00006671
8104,12.0,1.0,154,154,0.005,0.005,0.01,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00015502
8105,10.0,0.0,145,145,0.005,0.0,0.0025,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00012383
8106,7.0,0.0,159,159,0.0025,0.0025,0.0075,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00008139
8107,11.0,2.0,163,163,0.005,0.0075,0.0,0.024,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00015682
8108,,,106,106,0.01,0.0025,0.01,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00026323
8109,11.0,2.0,156,156,0.005,0.0025,0.0075,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00014008
8110,8.0,1.0,167,167,0.0,0.01,0.01,0.024,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00005843
8111,,,152,152,0.0,0.01,0.01,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00005925
8112,,,160,160,0.0,0.01,0.0025,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00005158
8113,,,154,154,0.01,0.0075,0.0075,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00028367
8114,,,157,157,0.005,0.01,0.0075,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00017739
8115,17.0,1.0,119,119,0.01,0.005,0.0075,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00027335
8116,4.0,1.0,35,35,0.0025,0.01,0.0,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00010994
8117,8.0,1.0,152,152,0.0075,0.0025,0.0075,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00020103
8118,5.0,1.0,167,167,0.0025,0.005,0.0,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00008586
8119,15.0,1.0,132,132,0.01,0.005,0.005,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00027043
8120,12.0,3.0,158,158,0.005,0.005,0.005,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00015071
8121,7.0,1.0,162,162,0.005,0.0,0.0075,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00012834
8122,,,35,35,0.0075,0.005,0.005,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00020988
8123,2.0,1.0,21,21,0.01,0.0025,0.0025,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00025596
8124,10.0,1.0,173,173,0.0,0.0025,0.0075,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00002037
8125,,,151,151,0.005,0.0025,0.01,0.018000000000000002,2.0,45000,out/autophagy/explore_parameter_space_2_00014281
8126,4.0,1.0,34,34,0.0025,0.0075,0.0025,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00009842
8127,,,44,44,0.0075,0.0075,0.0075,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00022428
8128,17.0,2.0,155,155,0.0025,0.01,0.01,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00011902
8129,6.0,1.0,37,37,0.005,0.0,0.005,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00012481
8130,3.0,2.0,26,26,0.01,0.005,0.0075,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00027227
8131,6.0,0.0,161,161,0.005,0.0,0.0075,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00012888
8132,4.0,1.0,26,26,0.01,0.0025,0.0,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00025200
8133,3.0,2.0,34,34,0.0075,0.0,0.01,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00019165
8134,3.0,0.0,169,169,0.005,0.0075,0.0025,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00015872
8135,,,159,159,0.005,0.0075,0.0,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00015712
8136,,,122,122,0.0025,0.0075,0.0025,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00009995
8137,3.0,1.0,112,112,0.0,0.0,0.01,0.0,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00001109
8138,,,142,142,0.0,0.01,0.0025,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00005051
8139,,,166,166,0.005,0.0075,0.005,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00016151
8140,3.0,2.0,26,26,0.0025,0.0,0.01,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00007011
8141,,,163,163,0.0,0.0,0.0075,0.018000000000000002,1.8,45000,out/autophagy/explore_parameter_space_2_00000747
8142,15.0,2.0,160,160,0.0025,0.005,0.01,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00009594
8143,3.0,0.0,156,156,0.0075,0.005,0.0025,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00020729
8144,6.0,0.0,80,80,0.005,0.005,0.0025,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00014840
8145,5.0,1.0,161,161,0.0025,0.005,0.005,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00009114
8146,15.0,1.0,145,145,0.0,0.005,0.0075,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00003225
8147,4.0,2.0,14,14,0.01,0.0025,0.005,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00025782
8148,3.0,1.0,111,111,0.0,0.01,0.005,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00005381
8149,7.0,2.0,152,152,0.0,0.0025,0.01,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00002394
8150,15.0,3.0,161,161,0.005,0.005,0.0075,0.018000000000000002,1.8,45000,out/autophagy/explore_parameter_space_2_00015145
8151,3.0,1.0,31,31,0.0025,0.01,0.005,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00011334
8152,9.0,0.0,159,159,0.0,0.005,0.01,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00003589
8153,4.0,1.0,31,31,0.005,0.005,0.0025,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00014690
8154,,,177,177,0.0025,0.0075,0.0025,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00009954
8155,4.0,1.0,26,26,0.0075,0.0025,0.0025,0.0,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00019586
8156,6.0,1.0,164,164,0.005,0.0075,0.0,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00015734
8157,5.0,0.0,178,178,0.0,0.0,0.0075,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00000928
8158,4.0,0.0,63,63,0.005,0.01,0.0025,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00017245
8159,,,157,157,0.0075,0.01,0.0,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00022929
8160,18.0,0.0,143,143,0.0,0.01,0.0025,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00005243
8161,,,41,41,0.01,0.0075,0.0075,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00028431
8162,,,165,165,0.005,0.0025,0.0025,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00013507
8163,,,152,152,0.0075,0.0,0.0025,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00018368
8164,3.0,1.0,111,111,0.0,0.0,0.0075,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00000821
8165,5.0,0.0,151,151,0.005,0.01,0.0075,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00017612
8166,10.0,3.0,154,154,0.01,0.01,0.0,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00028980
8167,21.0,1.0,149,149,0.01,0.0075,0.005,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00028217
8168,17.0,0.0,155,155,0.0025,0.01,0.0075,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00011741
8169,4.0,0.0,164,164,0.0025,0.0025,0.0075,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00008010
8170,2.0,0.0,41,41,0.0075,0.0075,0.0075,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00022334
8171,,,151,151,0.005,0.0025,0.005,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00013866
8172,3.0,1.0,21,21,0.0075,0.0075,0.01,0.0,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00022710
8173,7.0,0.0,82,82,0.005,0.0025,0.005,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00013834
8174,7.0,2.0,157,157,0.0025,0.0,0.005,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00006556
8175,6.0,1.0,99,99,0.0,0.01,0.005,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00005284
8176,,,146,146,0.0025,0.0025,0.005,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00007769
8177,9.0,0.0,172,172,0.0,0.0025,0.005,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00001893
8178,,,156,156,0.005,0.0,0.01,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00013129
8179,,,154,154,0.0,0.005,0.0025,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00002870
8180,,,143,143,0.01,0.0,0.0075,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00024761
8181,,,170,170,0.0,0.0,0.0075,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00000737
8182,,,152,152,0.01,0.0,0.0025,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00024468
