,kde_clusters,kde_clusters_at_cargo,graph_clusters,graph_clusters_at_cargo,potential_strength_r11_r11,potential_strength_cargo_r11,potential_strength_cargo_r11_avidity,kb_temperature_r11,interaction_relative_neighbour_distance,iteration,output_path
49,9.0,0.0,155,155,0.01,0.0025,0.0025,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00025614
50,,,18,18,0.01,0.01,0.0025,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00029045
51,4.0,3.0,71,71,0.005,0.0025,0.0,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00013402
52,4.0,1.0,24,24,0.0075,0.01,0.0025,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00023046
53,8.0,1.0,153,153,0.005,0.0025,0.0025,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00013630
54,2.0,1.0,25,25,0.01,0.01,0.005,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00029291
55,10.0,1.0,157,157,0.01,0.005,0.0025,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00026674
56,,,157,157,0.01,0.01,0.0,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00028942
57,,,110,110,0.0,0.01,0.01,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00005919
58,2.0,0.0,40,40,0.0075,0.01,0.0075,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00023583
59,4.0,1.0,164,164,0.005,0.005,0.005,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00014950
60,,,157,157,0.0075,0.0025,0.0,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00019219
61,5.0,0.0,156,156,0.0,0.0,0.0075,0.018000000000000002,2.0,45000,out/autophagy/explore_parameter_space_2_00000847
62,1.0,0.0,42,42,0.0075,0.0075,0.01,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00022671
63,4.0,3.0,30,30,0.0075,0.0025,0.005,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00019790
64,6.0,0.0,155,155,0.0025,0.0075,0.0025,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00009918
65,10.0,0.0,172,172,0.0,0.0025,0.0025,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00001452
66,8.0,1.0,166,166,0.005,0.0075,0.0075,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00016541
67,12.0,3.0,155,155,0.0,0.0025,0.0075,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00001967
68,1.0,0.0,49,49,0.0075,0.01,0.005,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00023487
69,5.0,1.0,162,162,0.0,0.0,0.01,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00001089
70,6.0,0.0,173,173,0.0,0.0,0.01,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00000983
71,4.0,1.0,34,34,0.0025,0.0075,0.005,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00010087
72,10.0,1.0,164,164,0.0,0.01,0.0,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00004966
73,11.0,1.0,146,146,0.0025,0.0025,0.005,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00007724
74,7.0,0.0,154,154,0.01,0.0,0.005,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00024617
75,4.0,0.0,158,158,0.0025,0.0,0.0075,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00006755
76,13.0,1.0,96,96,0.0025,0.01,0.005,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00011485
77,,,146,146,0.0075,0.01,0.01,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00023983
78,,,148,148,0.005,0.0025,0.0,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00013264
79,4.0,1.0,29,29,0.005,0.0,0.0075,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00012726
80,,,162,162,0.005,0.0025,0.0075,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00014089
81,6.0,0.0,166,166,0.0025,0.005,0.0025,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00008869
82,8.0,0.0,164,164,0.0025,0.0025,0.0,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00007305
83,2.0,1.0,23,23,0.01,0.005,0.0075,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00027135
84,7.0,0.0,153,153,0.0075,0.0,0.0,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00018191
85,2.0,0.0,161,161,0.005,0.0,0.0,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00012133
86,,,166,166,0.0,0.0,0.0075,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00000886
87,,,168,168,0.0,0.0025,0.0075,0.018000000000000002,2.0,45000,out/autophagy/explore_parameter_space_2_00002042
88,1.0,0.0,47,47,0.0075,0.0025,0.01,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00020173
89,,,163,163,0.0,0.0,0.01,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00001021
90,,,166,166,0.0075,0.005,0.01,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00021537
91,9.0,2.0,154,154,0.01,0.0025,0.0025,0.024,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00025527
92,8.0,1.0,146,146,0.0075,0.0,0.0025,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00018383
93,4.0,1.0,36,36,0.0025,0.0025,0.0025,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00007536
94,4.0,2.0,18,18,0.01,0.0075,0.0025,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00027843
95,5.0,0.0,70,70,0.005,0.0,0.01,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00013163
96,4.0,1.0,18,18,0.01,0.0,0.0075,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00024912
97,,,150,150,0.0075,0.005,0.0,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00020608
98,,,92,92,0.0025,0.0025,0.01,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00008363
99,17.0,3.0,151,151,0.0025,0.0,0.0025,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00006427
100,,,162,162,0.005,0.005,0.0075,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00015337
101,,,148,148,0.01,0.005,0.0025,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00026872
102,10.0,0.0,167,167,0.0,0.01,0.01,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00005981
103,6.0,1.0,161,161,0.0025,0.0,0.0,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00006011
104,9.0,0.0,163,163,0.005,0.0025,0.005,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00013844
105,9.0,2.0,144,144,0.01,0.0,0.0075,0.024,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00024800
106,4.0,0.0,154,154,0.0025,0.0075,0.0,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00009773
107,3.0,1.0,113,113,0.0,0.01,0.005,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00005475
108,,,142,142,0.0025,0.005,0.0,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00008557
109,8.0,0.0,156,156,0.0,0.005,0.01,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00003592
110,2.0,1.0,150,150,0.0,0.0025,0.0075,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00002058
111,,,176,176,0.0,0.005,0.0025,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00002753
112,10.0,1.0,155,155,0.005,0.005,0.0025,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00014820
113,7.0,1.0,150,150,0.0075,0.0,0.0,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00018160
114,,,153,153,0.0025,0.01,0.0,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00011030
115,,,62,62,0.005,0.0025,0.0075,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00013976
116,,,153,153,0.0075,0.0,0.0,0.024,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00018086
117,,,141,141,0.0075,0.005,0.0,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00020564
118,7.0,1.0,25,25,0.01,0.005,0.005,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00026929
119,3.0,1.0,28,28,0.0075,0.0025,0.0,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00019306
120,11.0,1.0,146,146,0.01,0.01,0.005,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00029460
121,8.0,0.0,149,149,0.0075,0.005,0.0025,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00020755
122,,,131,131,0.01,0.0025,0.0025,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00025506
123,5.0,1.0,101,101,0.0,0.0025,0.0075,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00002116
124,11.0,1.0,144,144,0.0025,0.0075,0.0075,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00010486
125,18.0,1.0,121,121,0.0025,0.0,0.01,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00007112
126,,,23,23,0.0075,0.0075,0.0,0.0,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00021749
127,11.0,1.0,159,159,0.0,0.01,0.01,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00005894
128,5.0,0.0,140,140,0.0075,0.0075,0.0025,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00021934
129,9.0,4.0,149,149,0.005,0.0,0.0,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00012046
130,6.0,1.0,104,104,0.0,0.0025,0.01,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00002164
131,,,141,141,0.01,0.01,0.0025,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00029082
132,5.0,1.0,27,27,0.005,0.0,0.0025,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00012337
133,5.0,1.0,24,24,0.005,0.01,0.01,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00017760
134,,,150,150,0.0075,0.0075,0.01,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00022750
135,,,142,142,0.0075,0.01,0.01,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00023898
136,20.0,2.0,160,160,0.0,0.0025,0.0,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00001336
137,6.0,3.0,146,146,0.01,0.0025,0.005,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00025915
138,,,136,136,0.01,0.0,0.0025,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00024309
139,6.0,2.0,18,18,0.0075,0.0,0.01,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00019155
140,4.0,0.0,167,167,0.0025,0.0025,0.0,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00007269
141,,,163,163,0.0025,0.0,0.0025,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00006460
142,,,156,156,0.01,0.0,0.0075,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00024939
143,,,113,113,0.0025,0.0075,0.0025,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00009899
144,,,117,117,0.01,0.0,0.0075,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00024791
145,5.0,0.0,78,78,0.005,0.0075,0.0025,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00016044
146,11.0,0.0,166,166,0.0025,0.0025,0.0,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00007279
147,,,150,150,0.0025,0.0075,0.0,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00009609
148,,,159,159,0.0025,0.0025,0.0,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00007405
149,15.0,1.0,123,123,0.0075,0.01,0.005,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00023300
150,4.0,1.0,168,168,0.0,0.0025,0.0075,0.018000000000000002,1.8,45000,out/autophagy/explore_parameter_space_2_00001948
151,,,131,131,0.01,0.0075,0.0025,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00028002
152,,,123,123,0.0,0.01,0.005,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00005385
153,15.0,1.0,159,159,0.0075,0.0025,0.01,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00020394
154,,,166,166,0.005,0.005,0.0,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00014628
155,9.0,0.0,172,172,0.0,0.0025,0.0075,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00001997
156,,,157,157,0.01,0.01,0.0,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00028835
157,10.0,2.0,167,167,0.0025,0.0,0.0075,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00006881
158,6.0,0.0,157,157,0.0,0.0,0.0075,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00000898
159,16.0,1.0,149,149,0.005,0.0,0.01,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00013174
160,,,155,155,0.0,0.0025,0.0075,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00002057
161,3.0,1.0,19,19,0.005,0.005,0.0,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00014400
162,3.0,2.0,27,27,0.01,0.0,0.01,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00025019
163,2.0,1.0,35,35,0.01,0.0075,0.0,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00027662
164,,,167,167,0.0075,0.0025,0.0075,0.018000000000000002,2.0,45000,out/autophagy/explore_parameter_space_2_00020045
165,7.0,3.0,157,157,0.0075,0.005,0.01,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00021545
166,2.0,0.0,37,37,0.01,0.0075,0.0075,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00028335
167,7.0,1.0,158,158,0.01,0.0,0.0,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00024184
168,7.0,1.0,159,159,0.0,0.01,0.005,0.024,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00005365
169,7.0,0.0,145,145,0.01,0.005,0.01,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00027588
170,3.0,2.0,19,19,0.01,0.005,0.0075,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00027131
171,6.0,1.0,158,158,0.0,0.0025,0.0075,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00002135
172,17.0,0.0,146,146,0.0025,0.01,0.01,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00011831
173,2.0,1.0,16,16,0.0075,0.0,0.0,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00018205
174,7.0,0.0,173,173,0.0,0.0025,0.0025,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00001600
175,,,151,151,0.01,0.005,0.0,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00026476
176,,,157,157,0.0,0.005,0.005,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00002989
177,,,156,156,0.0025,0.0075,0.0,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00009830
178,9.0,2.0,153,153,0.0075,0.0025,0.0025,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00019574
179,3.0,1.0,40,40,0.0025,0.0075,0.01,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00010758
180,21.0,1.0,136,136,0.0,0.01,0.0025,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00005050
181,8.0,0.0,177,177,0.0,0.0,0.0075,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00000930
182,8.0,1.0,145,145,0.0075,0.0075,0.005,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00022269
183,2.0,0.0,165,165,0.0,0.0,0.01,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00001033
184,4.0,0.0,167,167,0.0025,0.01,0.0025,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00011057
185,4.0,2.0,27,27,0.0075,0.0025,0.005,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00019879
186,13.0,3.0,151,151,0.0075,0.0,0.0075,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00018907
187,,,164,164,0.005,0.01,0.01,0.018000000000000002,1.8,45000,out/autophagy/explore_parameter_space_2_00017784
188,1.0,0.0,22,22,0.01,0.0075,0.005,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00028091
189,6.0,1.0,99,99,0.0,0.005,0.01,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00003364
190,10.0,4.0,151,151,0.0025,0.0,0.0025,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00006333
191,,,162,162,0.0025,0.0,0.0075,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00006952
192,5.0,0.0,147,147,0.0075,0.0025,0.0,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00019378
193,3.0,1.0,112,112,0.0,0.01,0.005,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00005331
194,5.0,0.0,153,153,0.0075,0.005,0.0025,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00020866
195,12.0,2.0,159,159,0.01,0.0,0.01,0.018000000000000002,1.8,45000,out/autophagy/explore_parameter_space_2_00024987
196,9.0,1.0,151,151,0.0075,0.0075,0.0,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00021788
197,4.0,1.0,59,59,0.005,0.005,0.005,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00014894
198,9.0,2.0,162,162,0.0075,0.005,0.005,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00021052
199,,,154,154,0.0075,0.0,0.01,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00019092
200,8.0,1.0,160,160,0.0075,0.01,0.0,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00022941
201,2.0,1.0,12,12,0.01,0.0075,0.0,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00027759
202,,,163,163,0.005,0.01,0.0,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00016867
203,,,123,123,0.01,0.0,0.01,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00025175
204,4.0,0.0,159,159,0.0075,0.0,0.0025,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00018356
205,,,158,158,0.0025,0.0025,0.0025,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00007487
206,2.0,1.0,36,36,0.0075,0.005,0.0025,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00020844
207,,,147,147,0.0075,0.0,0.0075,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00018787
208,11.0,1.0,148,148,0.01,0.0075,0.0025,0.018000000000000002,1.8,45000,out/autophagy/explore_parameter_space_2_00027871
209,,,167,167,0.0,0.0075,0.0025,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00003916
210,16.0,1.0,111,111,0.0025,0.0,0.01,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00007018
211,8.0,0.0,139,139,0.0075,0.0025,0.0075,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00020036
212,8.0,0.0,152,152,0.01,0.01,0.005,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00029512
213,4.0,1.0,37,37,0.0025,0.01,0.0075,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00011575
214,7.0,1.0,158,158,0.01,0.0,0.0,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00024040
215,6.0,1.0,150,150,0.005,0.01,0.0075,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00017707
216,,,163,163,0.0,0.0025,0.005,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00001788
217,,,145,145,0.0075,0.0075,0.01,0.024,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00022643
218,2.0,1.0,33,33,0.0075,0.005,0.005,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00021033
219,,,140,140,0.01,0.0,0.0075,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00024889
220,,,125,125,0.01,0.0025,0.0025,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00025556
221,5.0,1.0,40,40,0.0025,0.005,0.005,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00008977
222,,,134,134,0.005,0.0075,0.0075,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00016480
223,7.0,0.0,143,143,0.01,0.0025,0.01,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00026298
224,,,140,140,0.01,0.01,0.01,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00029838
